"partner_id";"partner_name"
1;"Suresh"
2;"Amit"
3;"Lokesh"
4;"Kartik"
5;"Gyandeep"
6;"Rohan"
7;"Vikram"
8;"Pooja"
9;"Anjali"
10;"Rahul"
11;"Sneha"
12;"Arjun"
13;"Nisha"
14;"Varun"
15;"Kavita"
16;"Aditya"
17;"Riya"
18;"Karan"
19;"Simran"
20;"Kabir"
21;"Tanvi"
22;"Rajesh"
23;"Swati"
24;"Nikhil"
25;"Deepika"
26;"Sanjay"
27;"Bhavya"
28;"Gaurav"
29;"Esha"
30;"Tarun"
31;"Radhika"
32;"Yash"
33;"Shreya"
34;"Harsh"
35;"Neelam"
36;"Akash"
37;"Sonia"
38;"Mayank"
39;"Ritika"
40;"Alok"
41;"Pallavi"
42;"Chetan"
43;"Divya"
44;"Kartik"
45;"Monika"
46;"Pranav"
47;"Richa"
48;"Sahil"
49;"Tanya"
50;"Manish"
51;"Meera"
52;"Siddharth"
53;"Ishita"
54;"Aryan"
55;"Kiara"
56;"Vihaan"
57;"Myra"
58;"Reyansh"
59;"Aadhya"
60;"Vivaan"
61;"Saanvi"
62;"Aarav"
63;"Ananya"
64;"Krishna"
65;"Pari"
66;"Ishaan"
67;"Diya"
68;"Dhruv"
69;"Ridhima"
70;"Atharva"
71;"Shanaya"
72;"Shaurya"
73;"Kyra"
74;"Rudra"
75;"Amaira"
76;"Ayaan"
77;"Vani"
78;"Kabir"
79;"Navya"
80;"Om"
81;"Jhanvi"
82;"Veer"
83;"Kashish"
84;"Darsh"
85;"Avni"
86;"Zain"
87;"Prisha"
88;"Rishit"
89;"Mishka"
90;"Yuvraj"
91;"Samaira"
92;"Aadi"
93;"Ira"
94;"Tejas"
95;"Ahana"
96;"Laksh"
97;"Sara"
98;"Pratyush"
99;"Rahi"
100;"Samarth"
101;"Nitya"
102;"Dev"
103;"Eva"
104;"Daksh"
105;"Jiya"
106;"Rohan"
107;"Vikram"
108;"Pooja"
109;"Anjali"
110;"Rahul"
111;"Sneha"
112;"Arjun"
113;"Nisha"
114;"Varun"
115;"Kavita"
116;"Aditya"
117;"Riya"
118;"Karan"
119;"Simran"
120;"Kabir"
121;"Tanvi"
122;"Rajesh"
123;"Swati"
124;"Nikhil"
125;"Deepika"
126;"Sanjay"
127;"Bhavya"
