"f_id";"f_name";"type"
1;"Non-veg Pizza";"Non-veg"
2;"Veg Pizza";"Veg"
3;"Choco Lava cake";"Veg"
4;"Chicken Wings";"Non-veg"
5;"Chicken Popcorn";"Non-veg"
6;"Rice Meal";"Veg"
7;"Roti meal";"Veg"
8;"Masala Dosa";"Veg"
9;"Rava Idli";"Veg"
10;"Schezwan Noodles";"Veg"
11;"Veg Manchurian";"Veg"
12;"New Dish Item 1";"Non-veg"
13;"New Dish Item 2";"Non-veg"
14;"New Dish Item 3";"Veg"
15;"New Dish Item 4";"Veg"
16;"New Dish Item 5";"Veg"
17;"New Dish Item 6";"Veg"
18;"New Dish Item 7";"Veg"
19;"New Dish Item 8";"Veg"
20;"New Dish Item 9";"Non-veg"
21;"New Dish Item 10";"Non-veg"
22;"New Dish Item 11";"Non-veg"
23;"New Dish Item 12";"Non-veg"
24;"New Dish Item 13";"Veg"
25;"New Dish Item 14";"Non-veg"
26;"New Dish Item 15";"Non-veg"
27;"New Dish Item 16";"Veg"
28;"New Dish Item 17";"Non-veg"
29;"New Dish Item 18";"Veg"
30;"New Dish Item 19";"Non-veg"
31;"New Dish Item 20";"Veg"
32;"New Dish Item 21";"Non-veg"
33;"New Dish Item 22";"Veg"
34;"New Dish Item 23";"Non-veg"
35;"New Dish Item 24";"Non-veg"
36;"New Dish Item 25";"Veg"
37;"New Dish Item 26";"Non-veg"
38;"New Dish Item 27";"Veg"
39;"New Dish Item 28";"Veg"
40;"New Dish Item 29";"Non-veg"
41;"New Dish Item 30";"Veg"
42;"New Dish Item 31";"Non-veg"
43;"New Dish Item 32";"Veg"
44;"New Dish Item 33";"Non-veg"
45;"New Dish Item 34";"Non-veg"
46;"New Dish Item 35";"Veg"
47;"New Dish Item 36";"Non-veg"
48;"New Dish Item 37";"Veg"
49;"New Dish Item 38";"Veg"
50;"New Dish Item 39";"Veg"
51;"New Dish Item 40";"Non-veg"
52;"New Dish Item 41";"Veg"
53;"New Dish Item 42";"Non-veg"
54;"New Dish Item 43";"Non-veg"
55;"New Dish Item 44";"Veg"
56;"New Dish Item 45";"Non-veg"
57;"New Dish Item 46";"Veg"
58;"New Dish Item 47";"Non-veg"
59;"New Dish Item 48";"Veg"
60;"New Dish Item 49";"Veg"
61;"New Dish Item 50";"Non-veg"
62;"New Dish Item 51";"Veg"
63;"New Dish Item 52";"Non-veg"
64;"New Dish Item 53";"Non-veg"
65;"New Dish Item 54";"Non-veg"
66;"New Dish Item 55";"Veg"
67;"New Dish Item 56";"Veg"
68;"New Dish Item 57";"Non-veg"
69;"New Dish Item 58";"Veg"
70;"New Dish Item 59";"Non-veg"
71;"New Dish Item 60";"Veg"
72;"New Dish Item 61";"Veg"
73;"New Dish Item 62";"Non-veg"
