"menu_id";"r_id";"f_id";"price"
1;1;1;450
2;1;2;400
3;1;3;100
4;2;3;115
5;2;4;230
6;2;5;300
7;3;3;80
8;3;6;160
9;3;7;140
10;4;6;230
11;4;8;180
12;4;9;120
13;5;6;250
14;5;10;220
15;5;11;180
16;2;178;322
17;2;336;89
18;5;791;397
19;2;587;301
20;8;344;245
21;10;522;432
22;3;82;338
23;7;492;301
24;1;768;368
25;10;614;212
26;9;49;463
27;10;478;245
28;6;511;509
29;1;636;505
30;7;644;130
31;9;989;155
32;2;1003;342
33;10;983;61
34;2;936;64
35;4;775;408
36;3;288;331
37;10;100;359
38;9;151;219
39;3;242;270
40;5;109;88
41;1;110;217
42;4;775;433
43;6;370;163
44;1;524;283
45;8;541;205
46;10;832;178
47;9;320;113
48;7;62;168
49;1;309;309
50;7;824;76
51;9;955;178
52;5;509;124
53;3;734;511
54;5;454;504
55;2;275;429
56;10;648;175
57;4;921;327
58;1;572;393
59;8;653;51
60;1;368;347
61;9;665;359
62;2;755;234
63;7;959;501
64;7;676;206
65;6;892;407
66;10;517;430
67;3;84;346
68;8;802;460
69;8;168;376
70;8;878;73
71;7;1004;91
72;5;964;271
73;4;451;131
74;5;912;86
75;7;94;287
76;1;68;68
77;10;821;102
78;1;150;279
79;9;907;507
80;9;715;479
81;2;311;51
82;1;470;69
83;8;893;57
84;5;87;124
85;5;991;273
86;3;115;397
87;2;582;290
88;7;955;393
89;7;987;77
90;4;574;449
91;3;56;251
92;9;62;421
93;6;427;310
94;4;121;343
95;6;133;509
96;3;257;381
97;6;788;166
98;9;437;390
99;2;532;192
100;9;406;275
101;1;919;242
102;2;844;338
103;4;186;435
104;3;190;69
105;7;47;216
106;6;634;328
107;10;865;330
108;3;501;434
109;4;504;253
110;6;478;423
111;4;350;438
112;9;924;60
113;4;757;378
114;1;225;548
115;4;598;54
116;3;312;420
117;8;698;99
118;5;845;498
119;10;196;69
120;7;954;491
121;6;261;323
122;10;172;529
123;3;580;547
124;3;300;405
125;7;220;87
126;8;390;430
127;7;973;481
128;5;579;330
129;1;783;348
130;7;519;340
131;4;107;258
132;8;590;358
133;4;816;69
134;8;764;277
135;1;672;201
136;6;732;68
137;1;967;420
138;9;968;188
139;6;734;97
140;3;193;83
141;8;645;490
142;5;834;371
143;8;801;411
144;3;38;281
145;3;633;309
146;8;27;540
147;9;208;317
148;1;713;217
149;6;823;236
150;5;27;471
151;2;162;242
152;5;76;68
153;10;682;301
154;5;948;160
155;3;810;112
156;3;761;91
157;2;551;173
158;6;258;287
159;7;655;245
160;1;899;254
161;4;654;104
162;7;698;370
163;2;757;220
164;5;261;510
165;9;421;335
166;7;316;422
167;8;706;115
168;6;413;230
169;6;830;230
170;4;638;112
171;8;312;213
172;8;599;457
173;4;63;251
174;9;952;156
175;3;596;154
176;3;762;518
177;5;322;206
178;7;129;446
179;6;560;53
180;4;868;131
181;3;709;445
182;9;890;475
183;7;507;387
184;9;321;540
185;10;832;176
186;9;246;455
187;4;223;104
188;9;86;437
189;7;799;89
190;1;921;281
191;6;521;467
192;7;650;211
193;7;464;168
194;9;347;190
195;4;59;122
196;6;339;54
197;1;205;486
198;8;158;306
199;2;981;321
200;9;404;338
201;7;723;302
202;4;385;432
203;7;136;356
204;7;493;269
205;8;341;296
206;5;796;338
207;6;898;484
208;7;812;532
209;5;197;409
210;1;903;267
211;5;192;275
212;7;78;212
213;4;1;458
214;1;997;382
215;4;843;85
216;9;44;381
217;2;944;107
218;8;546;232
219;3;964;116
220;9;657;457
221;2;213;377
222;7;269;245
223;2;618;341
224;1;670;83
225;4;532;347
226;4;185;416
227;2;382;321
228;6;275;360
229;3;568;527
230;1;605;405
231;8;673;74
232;3;104;430
233;6;229;362
234;5;355;259
235;1;958;357
236;3;318;487
237;5;533;222
238;2;689;538
239;9;288;495
240;6;329;463
241;2;311;82
242;5;834;505
243;1;670;88
244;4;754;320
245;5;749;190
246;2;83;475
247;1;518;309
248;1;740;291
249;3;685;405
250;6;469;429
251;5;761;322
252;5;698;78
253;3;925;508
254;9;490;489
255;10;78;326
256;6;23;301
257;5;720;164
258;1;376;461
259;10;521;342
260;4;143;333
261;5;368;340
262;9;315;111
263;7;39;123
264;7;671;276
265;3;36;218
266;6;905;413
267;10;601;101
268;8;375;371
269;2;591;355
270;4;708;339
271;8;248;467
272;5;717;157
273;10;90;350
274;8;927;225
275;1;962;427
276;10;329;486
277;4;341;305
278;6;180;181
279;8;121;175
280;9;739;532
281;7;263;253
282;3;48;287
283;3;749;50
284;8;951;216
285;9;215;317
286;1;605;483
287;6;115;519
288;4;961;395
289;7;959;513
290;8;181;308
291;1;705;216
292;6;908;424
293;1;19;516
294;7;232;214
295;10;813;121
296;4;107;352
297;8;723;278
298;2;357;212
299;6;891;393
300;8;935;164
301;4;176;426
302;3;963;65
303;4;435;167
304;9;727;520
305;6;913;489
306;7;795;489
307;1;531;313
308;1;725;252
309;9;174;162
310;7;367;545
311;9;376;175
312;2;974;242
313;1;28;62
314;1;145;342
315;5;746;144
316;8;115;228
317;5;158;272
318;8;441;509
319;3;681;303
320;6;62;426
321;6;684;359
322;1;483;141
323;5;902;546
324;3;463;263
325;8;539;237
326;3;272;303
327;8;120;253
328;7;204;526
329;2;934;124
330;10;437;165
331;9;618;284
332;6;183;223
333;2;936;74
334;5;189;316
335;2;942;219
336;10;504;440
337;5;728;230
338;7;140;429
339;4;625;526
340;10;720;457
341;10;269;300
342;8;29;61
343;1;66;172
344;1;428;58
345;9;56;454
346;9;969;129
347;10;150;531
348;4;997;450
349;1;832;539
350;5;215;436
351;3;807;209
352;3;53;376
353;2;611;389
354;6;895;385
355;7;486;204
356;1;577;326
357;1;612;483
358;6;18;306
359;6;21;333
360;8;166;300
361;1;554;404
362;10;401;183
363;2;922;114
364;10;191;147
365;5;484;126
366;4;207;61
367;6;457;422
368;4;615;516
369;9;426;336
370;6;282;347
371;2;916;107
372;9;970;156
373;2;288;484
374;5;859;436
375;4;252;203
376;8;14;402
377;5;326;124
378;8;440;472
379;10;61;320
380;6;28;322
381;7;599;61
382;4;628;94
383;6;671;328
384;8;306;113
385;8;279;140
386;1;864;65
387;6;874;324
388;2;108;90
389;1;185;378
390;8;730;245
391;8;803;343
392;6;1010;218
393;7;460;146
394;7;436;224
395;5;219;411
396;10;674;265
397;2;471;486
398;10;239;183
399;7;331;429
400;9;807;321
401;4;1002;540
402;10;728;451
403;9;862;403
404;10;764;476
405;10;426;109
406;4;296;285
407;5;995;289
408;5;814;389
409;10;861;212
410;1;370;363
411;1;295;227
412;9;432;270
413;10;319;444
414;1;648;148
415;1;733;267
416;1;718;318
417;6;188;174
418;7;710;269
419;1;116;206
420;3;189;178
421;8;872;115
422;1;961;322
423;9;756;103
424;3;151;481
425;9;763;131
426;6;271;391
427;7;38;216
428;6;781;148
429;7;750;405
430;4;512;322
431;3;430;292
432;2;325;117
433;8;179;416
434;2;477;528
435;4;986;434
436;10;285;378
437;5;212;420
438;1;166;343
439;5;467;536
440;5;477;511
441;3;252;366
442;5;188;387
443;9;88;531
444;6;918;479
445;6;269;361
446;4;751;422
447;5;254;431
448;1;18;501
449;5;626;398
450;7;47;224
451;7;992;92
452;5;178;259
453;6;606;189
454;7;171;68
455;7;309;288
456;5;911;103
457;9;831;362
458;7;417;93
459;3;764;131
460;6;278;406
461;8;572;351
462;4;792;529
463;5;362;272
464;2;456;439
465;6;396;208
466;5;107;195
467;2;848;431
468;3;209;116
