"id";"order_id";"f_id"
1;1001;1
2;1001;3
3;1002;4
4;1002;3
5;1003;6
6;1003;3
7;1004;6
8;1004;3
9;1005;7
10;1005;3
11;1006;1
12;1006;2
13;1006;3
14;1007;4
15;1007;3
16;1008;6
17;1008;3
18;1009;8
19;1009;9
20;1010;10
21;1010;11
22;1010;6
23;1011;1
24;1012;8
25;1013;4
26;1014;4
27;1015;4
28;1016;8
29;1016;9
30;1017;8
31;1017;9
32;1018;10
33;1018;11
34;1019;10
35;1019;11
36;1020;10
37;1020;11
38;1021;1
39;1021;3
40;1022;1
41;1022;3
42;1023;3
43;1023;4
44;1023;5
45;1024;3
46;1024;4
47;1024;5
48;1025;3
49;1025;4
50;1025;5
1001;201;5
1002;201;9
1003;202;3
1004;202;7
1005;203;2
1006;203;8
1007;204;4
1008;204;6
1009;205;1
1010;205;10
1011;206;5
1012;206;7
1013;207;3
1014;207;9
1015;208;2
1016;208;6
1017;209;4
1018;209;8
1019;210;1
1020;210;10
1021;211;5
1022;211;6
1023;212;7
1024;212;9
1025;213;2
1026;213;8
1027;214;3
1028;214;4
1029;215;1
1030;215;10
1031;216;6
1032;216;9
1033;217;2
1034;217;5
1035;218;3
1036;218;7
1037;219;4
1038;219;8
1039;220;1
1040;220;10
1041;221;3
1042;221;6
1043;222;2
1044;222;8
1045;223;1
1046;223;5
1047;224;4
1048;224;9
1049;225;7
1050;225;10
1051;226;2
1052;226;6
1053;227;3
1054;227;8
1055;228;1
1056;228;4
1057;229;5
1058;229;9
1059;230;7
1060;230;10
1061;231;2
1062;231;6
1063;232;1
1064;232;8
1065;233;3
1066;233;5
1067;234;4
1068;234;9
1069;235;7
1070;235;10
1071;236;2
1072;236;6
1073;237;1
1074;237;8
1075;238;3
1076;238;5
1077;239;4
1078;239;9
1079;240;7
1080;240;10
1081;241;2
1082;241;6
1083;242;1
1084;242;8
1085;243;3
1086;243;5
1087;244;4
1088;244;9
1089;245;7
1090;245;10
1091;246;2
1092;246;6
1093;247;1
1094;247;8
1095;248;3
1096;248;5
1097;249;4
1098;249;9
1099;250;7
1100;250;10
1101;251;1
1102;251;4
1103;252;3
1104;252;7
1105;253;2
1106;253;6
1107;254;5
1108;254;9
1109;255;8
1110;255;10
1111;256;1
1112;256;6
1113;257;2
1114;257;7
1115;258;3
1116;258;9
1117;259;4
1118;259;8
1119;260;5
1120;260;10
1121;261;1
1122;261;7
1123;262;2
1124;262;6
1125;263;3
1126;263;9
1127;264;4
1128;264;8
1129;265;5
1130;265;10
1131;266;1
1132;266;6
1133;267;2
1134;267;7
1135;268;3
1136;268;9
1137;269;4
1138;269;8
1139;270;5
1140;270;10
1141;271;1
1142;271;6
1143;272;2
1144;272;7
1145;273;3
1146;273;9
1147;274;4
1148;274;8
1149;275;5
1150;275;10
1151;276;1
1152;276;6
1153;277;2
1154;277;7
1155;278;3
1156;278;9
1157;279;4
1158;279;8
1159;280;5
1160;280;10
1161;281;1
1162;281;4
1163;282;2
1164;282;6
1165;283;3
1166;283;7
1167;284;4
1168;284;8
1169;285;5
1170;285;9
1171;286;6
1172;286;10
1173;287;1
1174;287;7
1175;288;2
1176;288;8
1177;289;3
1178;289;9
1179;290;4
1180;290;10
1181;291;5
1182;291;1
1183;292;6
1184;292;2
1185;293;7
1186;293;3
1187;294;8
1188;294;4
1189;295;9
1190;295;5
1191;296;10
1192;296;6
1193;297;1
1194;297;7
1195;298;2
1196;298;8
1197;299;3
1198;299;9
1199;300;4
1200;300;10
1201;301;5
1202;301;6
1203;302;1
1204;302;2
1205;303;7
1206;303;8
1207;304;3
1208;304;4
1209;305;9
1210;305;10
1211;306;5
1212;306;1
1213;307;6
1214;307;2
1215;308;7
1216;308;3
1217;309;8
1218;309;4
1219;310;9
1220;310;10
1221;311;1
1222;311;5
1223;312;2
1224;312;6
1225;313;3
1226;313;7
1227;314;4
1228;314;8
1229;315;5
1230;315;9
1231;316;6
1232;316;10
1233;317;1
1234;317;7
1235;318;2
1236;318;8
1237;319;3
1238;319;9
1239;320;4
1240;320;10
1241;321;5
1242;321;6
1243;322;1
1244;322;2
1245;323;7
1246;323;8
1247;324;3
1248;324;4
1249;325;9
1250;325;10
1651;531;1
1652;531;4
1653;532;2
1654;532;6
1655;533;3
1656;533;7
1657;534;4
1658;534;8
1659;535;5
1660;535;9
1661;536;1
1662;536;6
1663;537;2
1664;537;7
1665;538;3
1666;538;8
1667;539;4
1668;539;9
1669;540;5
1670;540;10
1671;541;1
1672;541;4
1673;542;2
1674;542;6
1675;543;3
1676;543;7
1677;544;4
1678;544;8
1679;545;5
1680;545;9
1681;546;6
1682;546;10
1683;547;1
1684;547;7
1685;548;2
1686;548;8
1687;549;3
1688;549;9
1689;550;4
1690;550;10
1691;551;5
1692;551;6
1693;552;1
1694;552;2
1695;553;7
1696;553;8
1697;554;3
1698;554;4
1699;555;9
1700;555;10
1951;686;1
1952;686;6
1953;687;2
1954;687;7
1955;688;3
1956;688;8
1957;689;4
1958;689;9
1959;690;5
1960;690;10
1961;691;1
1962;691;4
1963;692;2
1964;692;6
1965;693;3
1966;693;7
1967;694;4
1968;694;8
1969;695;5
1970;695;9
1971;696;6
1972;696;10
1973;697;1
1974;697;7
1975;698;2
1976;698;8
1977;699;3
1978;699;9
1979;700;4
1980;700;10
1981;701;5
1982;701;6
1983;702;1
1984;702;2
1985;703;7
1986;703;8
1987;704;3
1988;704;4
1989;705;9
1990;705;10
1991;706;1
1992;706;4
1993;707;2
1994;707;6
1995;708;3
1996;708;7
1997;709;4
1998;709;8
1999;710;5
2000;710;9
1661;536;1
1662;536;6
1663;537;2
1664;537;7
1665;538;3
1666;538;8
1667;539;4
1668;539;9
1669;540;5
1670;540;10
1671;541;1
1672;541;4
1673;542;2
1674;542;6
1675;543;3
1676;543;7
1677;544;4
1678;544;8
1679;545;5
1680;545;9
1681;546;6
1682;546;10
1683;547;1
1684;547;7
1685;548;2
1686;548;8
1687;549;3
1688;549;9
1689;550;4
1690;550;10
1691;551;5
1692;551;6
1693;552;1
1694;552;2
1695;553;7
1696;553;8
1697;554;3
1698;554;4
1699;555;9
1700;555;10
1951;686;1
1952;686;6
1953;687;2
1954;687;7
1955;688;3
1956;688;8
1957;689;4
1958;689;9
1959;690;5
1960;690;10
1961;691;1
1962;691;4
1963;692;2
1964;692;6
1965;693;3
1966;693;7
1967;694;4
1968;694;8
1969;695;5
1970;695;9
1971;696;6
1972;696;10
1973;697;1
1974;697;7
1975;698;2
1976;698;8
1977;699;3
1978;699;9
1979;700;4
1980;700;10
1981;701;5
1982;701;6
1983;702;1
1984;702;2
1985;703;7
1986;703;8
1987;704;3
1988;704;4
1989;705;9
1990;705;10
1991;706;1
1992;706;4
1993;707;2
1994;707;6
1995;708;3
1996;708;7
1997;709;4
1998;709;8
1999;710;5
2000;710;9
2001;1026;645
2002;1026;623
2003;1027;170
2004;1027;1003
2005;1027;461
2006;1028;304
2007;1028;138
2008;1028;788
2009;1029;491
2010;1029;93
2011;1029;1011
2012;1030;732
2013;1030;627
2014;1030;938
2015;1031;786
2016;1031;106
2017;1031;192
2018;1032;644
2019;1032;620
2020;1032;157
2021;1033;947
2022;1033;220
2023;1033;280
2024;1034;738
2025;1034;827
2026;1034;911
2027;1035;49
2028;1035;547
2029;1035;563
2030;1036;163
2031;1036;139
2032;1036;203
2033;1037;599
2034;1037;364
2035;1037;24
2036;1038;37
2037;1038;111
2038;1038;444
2039;1039;875
2040;1039;10
2041;1039;459
2042;1040;242
2043;1040;843
2044;1040;457
2045;1041;763
2046;1041;425
2047;1041;847
2048;1042;936
2049;1042;115
2050;1042;801
2051;1043;627
2052;1043;730
2053;1043;757
2054;1044;582
2055;1044;642
2056;1044;451
2057;1045;329
2058;1045;292
2059;1045;471
2060;1046;466
2061;1046;919
2062;1046;161
2063;1047;72
2064;1047;887
2065;1047;174
2066;1048;231
2067;1048;633
2068;1048;451
2069;1049;353
2070;1049;411
2071;1049;998
2072;1050;721
2073;1050;612
2074;1050;898
2075;1051;631
2076;1051;460
2077;1051;407
2078;1052;654
2079;1052;27
2080;1052;194
2081;1053;890
2082;1053;832
2083;1053;479
2084;1054;909
2085;1054;76
2086;1054;683
2087;1055;154
2088;1055;743
2089;1055;220
2090;1056;892
2091;1056;769
2092;1056;154
2093;1057;487
2094;1057;962
2095;1057;313
2096;1058;700
2097;1058;539
2098;1058;594
2099;1059;342
2100;1059;938
2101;1059;630
2102;1060;334
2103;1060;792
2104;1060;935
2105;1061;279
2106;1061;609
2107;1061;185
2108;1062;108
2109;1062;994
2110;1062;605
2111;1063;41
2112;1063;410
2113;1063;918
2114;1064;324
2115;1064;890
2116;1064;445
2117;1065;566
2118;1065;484
2119;1065;719
2120;1066;122
2121;1066;475
2122;1066;997
2123;1067;526
2124;1067;648
2125;1067;652
2126;1068;306
2127;1068;581
2128;1068;979
2129;1069;115
2130;1069;674
2131;1069;1001
2132;1070;961
2133;1070;792
2134;1070;64
2135;1071;976
2136;1071;645
2137;1071;294
2138;1072;547
2139;1072;843
2140;1072;552
2141;1073;230
2142;1073;505
2143;1073;824
2144;1074;580
2145;1074;429
2146;1074;405
2147;1075;737
2148;1075;448
2149;1075;30
2150;1076;826
2151;1076;1006
2152;1076;530
2153;1077;643
2154;1077;615
2155;1077;132
2156;1078;836
2157;1078;751
2158;1078;234
2159;1079;939
2160;1079;960
2161;1079;973
2162;1080;972
2163;1080;928
2164;1080;715
2165;1081;790
2166;1081;795
2167;1081;594
2168;1082;582
2169;1082;116
2170;1082;856
2171;1083;898
2172;1083;912
2173;1083;854
2174;1084;524
2175;1084;58
2176;1084;737
2177;1085;477
2178;1085;176
2179;1085;460
2180;1086;759
2181;1086;391
2182;1086;689
2183;1087;248
2184;1087;186
2185;1087;184
2186;1088;362
2187;1088;245
2188;1088;139
2189;1089;972
2190;1089;397
2191;1089;80
2192;1090;220
2193;1090;860
2194;1090;605
2195;1091;445
2196;1091;411
2197;1091;719
2198;1092;340
2199;1092;555
2200;1092;741
2201;1093;18
2202;1093;898
2203;1093;391
2204;1094;272
2205;1094;187
2206;1094;118
2207;1095;27
2208;1095;794
2209;1095;854
2210;1096;878
2211;1096;818
2212;1096;441
2213;1097;763
2214;1097;468
2215;1097;51
2216;1098;871
2217;1098;159
2218;1098;202
2219;1099;534
2220;1099;39
2221;1099;617
2222;1100;946
2223;1100;858
2224;1100;437
2225;1101;622
2226;1101;788
2227;1101;52
2228;1102;927
2229;1102;437
2230;1102;412
2231;1103;748
2232;1103;484
2233;1103;175
2234;1104;434
2235;1104;631
2236;1104;842
2237;1105;296
2238;1105;977
2239;1105;962
2240;1106;865
2241;1106;431
2242;1106;571
2243;1107;549
2244;1107;22
2245;1107;482
2246;1108;321
2247;1108;158
2248;1108;837
2249;1109;679
2250;1109;885
2251;1109;364
2252;1110;175
2253;1110;793
2254;1110;408
2255;1111;671
2256;1111;108
2257;1111;547
2258;1112;392
2259;1112;315
2260;1112;400
2261;1113;44
2262;1113;28
2263;1113;9
2264;1114;971
2265;1114;785
2266;1114;1011
2267;1115;678
2268;1115;357
2269;1115;761
2270;1116;713
2271;1116;271
2272;1116;224
2273;1117;309
2274;1117;871
2275;1117;393
2276;1118;364
2277;1118;642
2278;1118;96
2279;1119;575
2280;1119;564
2281;1119;85
2282;1120;754
2283;1120;480
2284;1120;137
2285;1121;258
2286;1121;876
2287;1121;575
2288;1122;246
2289;1122;516
2290;1122;829
2291;1123;574
2292;1123;383
2293;1123;193
2294;1124;828
2295;1124;528
2296;1124;155
2297;1125;199
2298;1125;531
2299;1125;36
2300;1126;610
2301;1126;917
2302;1126;735
2303;1127;920
2304;1127;376
2305;1127;127
2306;1128;519
2307;1128;193
2308;1128;415
2309;1129;488
2310;1129;181
2311;1129;452
2312;1130;704
2313;1130;144
2314;1130;631
2315;1131;697
2316;1131;584
2317;1131;826
2318;1132;357
2319;1132;315
2320;1132;504
2321;1133;563
2322;1133;294
2323;1133;792
2324;1134;43
2325;1134;870
2326;1134;176
2327;1135;293
2328;1135;937
2329;1135;773
2330;1136;44
2331;1136;931
2332;1136;479
2333;1137;610
2334;1137;605
2335;1137;184
2336;1138;114
2337;1138;18
2338;1138;760
2339;1139;712
2340;1139;270
2341;1139;222
2342;1140;300
2343;1140;833
2344;1140;233
2345;1141;688
2346;1141;719
2347;1141;517
2348;1142;430
2349;1142;599
2350;1142;692
2351;1143;650
2352;1143;164
2353;1143;891
2354;1144;931
2355;1144;968
2356;1144;24
2357;1145;249
2358;1145;163
2359;1145;68
2360;1146;863
2361;1146;63
2362;1146;761
2363;1147;583
2364;1147;629
2365;1147;386
2366;1148;41
2367;1148;59
2368;1148;171
2369;1149;677
2370;1149;849
2371;1149;192
2372;1150;434
2373;1150;581
2374;1150;593
2375;1151;211
2376;1151;285
2377;1151;790
2378;1152;64
2379;1152;984
2380;1152;682
2381;1153;457
2382;1153;237
2383;1153;826
2384;1154;386
2385;1154;463
2386;1154;145
2387;1155;348
2388;1155;294
2389;1155;425
2390;1156;230
2391;1156;886
2392;1156;706
2393;1157;870
2394;1157;211
