"order_id";"user_id";"r_id";"amount";"date";"partner_id";"delivery_time";"delivery_rating";"restaurant_rating"
1001;1;1;550;"2022-05-10";1;25;5;"3"
1002;1;2;415;"2022-05-26";1;19;5;"2"
1003;1;3;240;"2022-06-15";5;29;4;""
1004;1;3;240;"2022-06-29";4;42;3;"5"
1005;1;3;220;"2022-07-10";1;58;1;"4"
1006;2;1;950;"2022-06-10";2;16;5;""
1007;2;2;530;"2022-06-23";3;60;1;"5"
1008;2;3;240;"2022-07-07";5;33;4;"5"
1009;2;4;300;"2022-07-17";4;41;1;""
1010;2;5;650;"2022-07-31";1;67;1;"4"
1011;3;1;450;"2022-05-10";2;25;3;"1"
1012;3;4;180;"2022-05-20";5;33;4;"1"
1013;3;2;230;"2022-05-30";4;45;3;""
1014;3;2;230;"2022-06-11";2;55;1;"2"
1015;3;2;230;"2022-06-22";3;21;5;""
1016;4;4;300;"2022-05-15";3;31;5;"5"
1017;4;4;300;"2022-05-30";1;50;1;""
1018;4;4;400;"2022-06-15";2;40;3;"5"
1019;4;5;400;"2022-06-30";1;70;2;"4"
1020;4;5;400;"2022-07-15";3;26;5;"3"
1021;5;1;550;"2022-07-01";5;22;2;""
1022;5;1;550;"2022-07-08";1;34;5;"1"
1023;5;2;645;"2022-07-15";4;38;5;"1"
1024;5;2;645;"2022-07-21";2;58;2;"1"
1025;5;2;645;"2022-07-28";2;44;4;""
1026;33;2;719;"2022-06-12";2;49;1;""
1027;661;4;712;"2022-05-28";3;23;4;"3"
1028;39;3;398;"2022-05-09";3;36;4;"2"
1029;929;3;683;"2022-07-17";2;57;4;""
1030;982;4;686;"2022-05-17";5;59;2;""
1031;856;5;422;"2022-07-08";4;42;4;"2"
1032;847;1;778;"2022-07-05";2;29;4;"5"
1033;44;4;610;"2022-06-28";3;48;1;"3"
1034;492;5;878;"2022-07-22";5;42;3;"3"
1035;813;2;915;"2022-07-25";5;36;4;"5"
1036;299;4;642;"2022-07-27";1;20;3;"2"
1037;633;2;505;"2022-06-07";4;38;2;"5"
1038;239;2;674;"2022-06-10";2;21;5;"3"
1039;654;1;391;"2022-06-01";5;25;3;""
1040;919;2;478;"2022-06-02";3;44;4;"1"
1041;850;1;493;"2022-06-20";3;53;4;""
1042;693;5;475;"2022-06-01";3;36;5;"1"
1043;961;2;635;"2022-05-13";5;15;2;"4"
1044;445;5;625;"2022-05-02";2;35;2;"3"
1045;821;3;812;"2022-07-08";2;34;1;"4"
1046;425;5;225;"2022-07-16";5;30;4;"2"
1047;51;3;771;"2022-05-12";2;20;4;"3"
1048;375;3;167;"2022-07-13";1;47;3;"5"
1049;657;5;233;"2022-05-08";1;22;3;"2"
1050;486;2;512;"2022-05-11";2;51;2;"1"
1051;354;2;626;"2022-07-28";1;48;2;"1"
1052;836;1;368;"2022-07-20";4;43;1;"3"
1053;993;3;900;"2022-07-24";5;45;4;"2"
1054;373;4;608;"2022-06-28";3;47;1;"2"
1055;633;3;458;"2022-06-20";4;35;3;"4"
1056;758;5;402;"2022-07-14";1;35;4;"1"
1057;530;3;845;"2022-07-18";4;19;2;"4"
1058;927;3;692;"2022-07-22";3;57;1;"3"
1059;734;2;250;"2022-07-15";4;36;1;"1"
1060;366;4;476;"2022-07-24";3;38;1;"5"
1061;774;1;275;"2022-06-14";1;40;5;"5"
1062;167;1;727;"2022-06-12";2;44;4;""
1063;972;2;798;"2022-05-02";4;25;2;"4"
1064;762;5;327;"2022-06-06";2;43;1;"4"
1065;737;2;522;"2022-05-30";2;20;5;"2"
1066;230;1;432;"2022-07-06";4;16;1;"4"
1067;812;1;794;"2022-07-19";1;31;5;"2"
1068;896;3;480;"2022-07-12";4;37;1;""
1069;236;5;466;"2022-06-16";3;35;1;""
1070;276;1;410;"2022-06-18";4;57;3;"1"
1071;672;1;298;"2022-07-12";3;58;2;"3"
1072;804;3;163;"2022-06-26";1;38;2;"2"
1073;392;2;171;"2022-06-07";5;47;4;""
1074;772;2;652;"2022-07-27";5;59;1;""
1075;544;2;259;"2022-06-26";4;45;2;"4"
1076;335;4;767;"2022-06-23";4;38;3;"2"
1077;295;3;830;"2022-06-25";3;47;1;""
1078;160;4;691;"2022-06-14";3;45;1;"2"
1079;665;3;934;"2022-05-11";4;55;3;""
1080;204;3;646;"2022-07-08";5;35;3;"5"
1081;247;2;896;"2022-06-29";3;42;3;"5"
1082;510;3;513;"2022-06-13";1;49;4;"2"
1083;675;3;284;"2022-06-17";1;16;4;"4"
1084;716;4;556;"2022-06-01";2;18;4;""
1085;658;5;549;"2022-07-12";3;30;1;"3"
1086;636;3;842;"2022-06-29";4;45;1;"2"
1087;939;1;313;"2022-05-02";3;24;4;"4"
1088;188;1;942;"2022-06-25";1;49;3;"1"
1089;585;5;416;"2022-05-20";1;47;2;"4"
1090;883;3;919;"2022-05-23";2;58;4;""
1091;827;1;669;"2022-05-16";5;58;1;""
1092;531;3;443;"2022-05-06";1;50;2;"4"
1093;611;1;552;"2022-05-29";1;32;4;"5"
1094;719;4;822;"2022-07-12";3;18;5;"2"
1095;262;2;278;"2022-06-27";4;41;5;"2"
1096;199;2;732;"2022-07-16";1;46;2;"1"
1097;481;2;602;"2022-05-21";3;36;1;""
1098;415;4;775;"2022-05-09";1;31;3;""
1099;96;2;866;"2022-07-09";1;36;5;""
1100;977;3;410;"2022-05-25";3;22;4;"1"
1101;244;4;264;"2022-06-05";3;34;4;"3"
1102;239;3;442;"2022-06-22";4;26;5;"2"
1103;334;1;402;"2022-06-04";5;51;1;"3"
1104;460;5;396;"2022-07-05";4;35;1;"3"
1105;621;4;486;"2022-05-13";3;44;1;""
1106;456;5;623;"2022-07-28";1;49;2;"4"
1107;812;5;457;"2022-05-03";5;53;2;""
1108;292;2;640;"2022-05-16";1;43;1;"3"
1109;994;2;781;"2022-07-19";1;41;4;""
1110;83;1;710;"2022-07-23";3;15;2;"5"
1111;235;2;308;"2022-07-16";4;44;3;""
1112;883;2;268;"2022-06-29";5;30;1;"1"
1113;145;3;510;"2022-06-16";2;47;5;""
1114;59;5;432;"2022-05-05";1;48;1;"5"
1115;524;5;693;"2022-07-16";2;36;4;"2"
1116;980;4;675;"2022-05-12";4;58;4;""
1117;991;4;717;"2022-05-31";3;49;1;"4"
1118;448;1;652;"2022-06-20";5;54;4;"3"
1119;300;5;446;"2022-05-27";2;51;1;"4"
1120;932;4;934;"2022-06-27";2;28;4;"5"
1121;663;5;427;"2022-05-13";4;50;1;"3"
1122;316;1;674;"2022-07-22";4;27;4;""
1123;963;2;856;"2022-06-01";1;40;3;"4"
1124;127;4;163;"2022-05-05";1;49;2;""
1125;389;5;162;"2022-06-21";5;29;1;"4"
1126;826;1;363;"2022-07-19";4;39;5;"5"
1127;896;5;801;"2022-06-03";3;57;3;"3"
1128;110;4;617;"2022-06-21";1;51;4;"2"
1129;583;1;368;"2022-06-01";5;44;3;"2"
1130;642;2;210;"2022-07-10";4;16;1;"2"
1131;68;2;465;"2022-05-02";5;31;1;"1"
1132;219;5;776;"2022-05-23";5;49;1;"2"
1133;267;3;266;"2022-07-26";2;59;5;""
1134;354;2;356;"2022-06-15";4;21;3;""
1135;31;5;189;"2022-07-08";4;16;1;"1"
1136;364;3;513;"2022-07-06";2;39;4;"5"
1137;704;1;492;"2022-07-13";4;39;2;"1"
1138;516;1;571;"2022-06-23";2;18;2;"4"
1139;283;3;552;"2022-05-10";1;51;5;"5"
1140;657;3;306;"2022-06-30";5;58;3;"3"
1141;965;4;276;"2022-07-26";2;48;4;"5"
1142;746;5;331;"2022-06-11";3;43;2;"5"
1143;471;3;784;"2022-06-27";5;24;4;"5"
1144;731;4;719;"2022-05-20";5;17;3;""
1145;397;3;423;"2022-05-17";5;16;2;"3"
1146;708;4;837;"2022-07-21";5;18;3;""
1147;511;5;452;"2022-07-25";3;20;4;"5"
1148;390;2;560;"2022-06-20";2;40;1;"2"
1149;226;2;937;"2022-07-23";4;42;5;""
1150;442;5;640;"2022-05-10";4;19;3;""
1151;75;1;175;"2022-05-01";5;45;3;"3"
1152;781;2;351;"2022-05-28";4;55;2;"3"
1153;256;4;852;"2022-05-19";2;30;3;"1"
1154;639;4;260;"2022-07-17";5;51;2;"2"
1155;245;1;285;"2022-05-28";1;24;5;""
1156;12;3;612;"2022-05-29";5;32;2;"1"
1157;400;5;884;"2022-05-11";5;54;5;"4"
1158;874;1;566;"2022-06-16";1;44;1;"1"
1159;56;2;900;"2022-05-03";2;38;4;"2"
1160;975;4;568;"2022-06-19";1;21;2;"3"
1161;798;3;563;"2022-07-15";4;48;4;"3"
1162;126;5;356;"2022-06-15";4;31;3;""
1163;473;5;922;"2022-05-18";1;52;5;""
1164;950;2;665;"2022-05-30";4;37;2;"5"
1165;566;5;920;"2022-05-02";2;16;3;"1"
1166;422;5;419;"2022-07-23";4;28;4;"2"
1167;495;4;507;"2022-07-19";1;42;5;"3"
1168;221;5;681;"2022-07-05";4;15;1;"1"
1169;312;1;555;"2022-05-25";5;30;1;"2"
1170;562;5;837;"2022-06-21";2;46;4;""
1171;622;4;187;"2022-07-19";2;49;5;"2"
1172;584;5;281;"2022-07-18";5;48;1;""
1173;235;5;906;"2022-07-24";5;36;5;"4"
1174;925;2;760;"2022-07-20";1;26;4;"1"
1175;818;5;856;"2022-07-13";3;45;1;"3"
1176;485;5;259;"2022-07-23";2;34;2;"2"
1177;825;5;309;"2022-05-18";2;24;5;""
1178;826;4;265;"2022-06-19";2;55;3;""
1179;21;4;372;"2022-06-04";1;29;2;"4"
1180;84;2;859;"2022-07-07";1;24;4;""
1181;311;2;312;"2022-05-31";1;28;2;"1"
1182;135;2;164;"2022-05-22";1;57;2;"3"
1183;456;4;587;"2022-06-05";2;30;5;""
1184;942;3;520;"2022-07-24";2;51;1;"3"
1185;645;3;701;"2022-07-18";2;51;1;"1"
1186;521;3;357;"2022-06-24";2;34;3;"4"
1187;431;5;881;"2022-05-05";3;29;1;"2"
1188;291;3;777;"2022-05-30";2;35;3;"5"
1189;380;5;443;"2022-05-12";3;33;2;"3"
1190;890;1;461;"2022-07-22";2;25;5;""
1191;994;3;230;"2022-05-23";5;19;3;"5"
1192;821;3;152;"2022-06-18";4;51;1;"3"
1193;276;5;762;"2022-05-07";1;19;2;""
1194;559;3;302;"2022-05-22";4;29;4;"1"
1195;506;3;835;"2022-07-17";4;17;1;"4"
1196;568;3;899;"2022-05-09";4;21;4;"5"
1197;274;4;406;"2022-07-04";4;59;1;"1"
1198;211;4;674;"2022-05-28";3;54;4;"1"
1199;771;4;342;"2022-05-07";4;59;1;"2"
1200;905;3;469;"2022-07-05";3;17;5;"3"
1201;972;3;516;"2022-07-18";5;25;2;"3"
1202;301;5;770;"2022-05-07";1;58;4;"2"
1203;7;3;242;"2022-05-27";1;49;3;""
1204;630;1;785;"2022-06-20";3;32;4;"2"
1205;724;4;377;"2022-06-01";5;36;4;"2"
1206;255;1;948;"2022-06-18";4;50;5;""
1207;985;3;637;"2022-06-16";4;19;2;"1"
1208;240;5;679;"2022-07-01";3;19;1;"3"
1209;908;5;687;"2022-07-04";3;51;2;"1"
1210;641;4;249;"2022-07-11";3;41;1;""
1211;680;2;537;"2022-06-15";1;56;2;""
1212;98;2;610;"2022-07-08";1;17;1;""
1213;675;5;328;"2022-06-21";1;22;2;"1"
1214;217;5;354;"2022-05-31";5;39;1;"5"
1215;704;3;750;"2022-05-04";5;40;1;"4"
1216;758;3;276;"2022-05-31";1;58;2;"2"
1217;348;4;771;"2022-06-23";4;33;1;"4"
1218;464;2;156;"2022-05-18";5;27;3;"3"
1219;609;3;319;"2022-07-15";3;27;4;"3"
1220;623;2;249;"2022-06-08";4;39;3;"3"
1221;84;4;442;"2022-06-29";2;16;3;"1"
1222;565;4;222;"2022-05-17";4;44;2;"3"
1223;816;2;172;"2022-05-24";2;25;3;""
1224;745;3;270;"2022-05-30";1;54;5;"4"
1225;312;4;271;"2022-07-21";1;48;3;"1"
1226;997;4;181;"2022-06-04";4;50;4;"4"
1227;397;5;227;"2022-07-22";2;42;2;"4"
1228;421;4;367;"2022-05-22";2;21;3;"3"
1229;283;5;419;"2022-05-16";5;52;3;""
1230;697;2;724;"2022-06-15";2;29;3;"1"
1231;305;1;165;"2022-06-18";4;38;4;""
1232;368;3;420;"2022-05-21";1;55;1;"2"
1233;728;4;470;"2022-07-16";1;49;4;"5"
1234;696;3;414;"2022-05-19";1;35;2;"3"
1235;53;4;424;"2022-06-25";1;34;1;"5"
1236;461;2;504;"2022-05-12";2;16;2;"1"
1237;369;4;519;"2022-05-16";3;51;4;""
